Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Precious Achiuwa,PF,F,46,2,3,12.7,2.1,3.8,0.56,0.0,0.0,0.0,1.0,2.0,0.5,3.6,0.5,0.3,0.5,0.8,5.3,2020-2021
Jaylen Adams,PG,G,7,0,29,2.59,0.1,1.1,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.3,2020-2021
Steven Adams,C,C,44,44,3,28.32,3.4,5.5,0.627,0.0,0.1,0.0,1.0,2.2,0.455,8.9,2.0,0.9,0.7,1.5,7.9,2020-2021
Bam Adebayo,C,C,43,43,6,33.7,7.2,12.8,0.558,0.0,0.2,0.286,4.9,5.9,0.834,9.5,5.3,0.9,1.2,2.7,19.3,2020-2021
LaMarcus Aldridge,C,C,22,19,22,26.08,5.4,11.7,0.461,1.3,3.5,0.368,1.5,1.8,0.846,4.7,1.9,0.5,0.9,0.9,13.6,2020-2021
Ty-Shon Alexander,SG,G,4,0,43,2.43,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,2020-2021
Nickeil Alexander-Walker,SG,G,39,9,8,20.52,3.9,9.2,0.427,1.6,4.6,0.354,0.9,1.2,0.756,3.1,2.0,0.9,0.5,1.4,10.3,2020-2021
Grayson Allen,SG,G,32,20,13,24.22,3.2,7.6,0.418,2.0,5.0,0.406,1.4,1.6,0.902,3.2,2.1,1.0,0.2,0.9,9.8,2020-2021
Jarrett Allen,C,C,44,26,5,28.66,4.8,7.5,0.633,0.1,0.3,0.417,3.5,4.9,0.704,9.9,1.7,0.5,1.7,1.5,13.1,2020-2021
Al-Farouq Aminu,PF,F,18,14,29,21.06,2.0,5.0,0.4,0.4,1.8,0.219,0.9,1.1,0.842,5.3,1.6,0.9,0.5,1.5,5.3,2020-2021
Kyle Anderson,PF,F,43,43,2,27.2,4.6,9.7,0.48,1.3,3.7,0.356,1.9,2.6,0.755,5.7,3.3,1.1,0.7,1.4,12.5,2020-2021
Giannis Antetokounmpo,PF,F,44,44,3,34.0,10.2,18.4,0.557,1.2,3.8,0.307,6.7,9.9,0.682,11.3,6.2,1.1,1.3,3.8,28.3,2020-2021
Kostas Antetokounmpo,PF,F,7,0,41,4.06,0.3,0.7,0.4,0.0,0.0,0.0,0.3,0.6,0.5,1.4,0.0,0.3,0.4,0.9,0.9,2020-2021
Thanasis Antetokounmpo,SF,F,35,1,12,9.91,1.4,2.5,0.562,0.2,0.5,0.368,0.3,0.7,0.462,2.2,0.8,0.4,0.2,0.8,3.4,2020-2021
Carmelo Anthony,PF,F,46,3,1,25.88,5.0,11.8,0.418,1.7,4.6,0.381,2.3,2.6,0.867,3.3,1.7,0.8,0.7,1.1,13.9,2020-2021
Cole Anthony,PG,G,25,17,23,26.68,4.0,10.8,0.375,1.1,3.3,0.325,1.8,2.2,0.836,4.4,3.8,0.7,0.4,2.0,11.0,2020-2021
OG Anunoby,SF,F,30,30,18,33.55,5.3,11.1,0.479,2.4,5.9,0.403,1.8,2.4,0.761,6.1,1.9,1.7,0.8,1.8,14.8,2020-2021
Ryan Arcidiacono,PG,G,29,0,17,11.33,1.1,3.0,0.384,0.6,1.7,0.32,0.4,0.6,0.75,1.6,1.4,0.2,0.0,0.2,3.2,2020-2021
Trevor Ariza,SF,F,8,5,41,23.57,2.1,7.0,0.304,0.9,3.8,0.233,1.0,1.4,0.727,4.4,1.5,0.6,0.9,0.5,6.1,2020-2021
D.J. Augustin,PG,G,44,6,4,19.47,2.2,5.5,0.394,1.4,3.5,0.385,1.1,1.2,0.909,1.6,3.2,0.5,0.0,1.0,6.8,2020-2021
Deni Avdija,SF,F,43,21,4,22.58,2.4,5.7,0.424,1.0,3.1,0.323,0.4,0.7,0.613,4.8,1.2,0.6,0.2,0.7,6.2,2020-2021
Deandre Ayton,C,C,47,47,0,30.57,6.3,10.3,0.608,0.1,0.4,0.235,2.0,2.6,0.764,10.9,1.5,0.4,1.1,1.7,14.6,2020-2021
Udoka Azubuike,C,C,12,0,35,4.08,0.3,0.6,0.571,0.0,0.0,0.0,0.3,0.5,0.667,1.1,0.0,0.1,0.3,0.2,1.0,2020-2021
Dwayne Bacon,SG,G,48,30,0,25.34,3.8,9.5,0.402,1.0,3.0,0.326,1.8,2.1,0.843,3.0,1.2,0.5,0.1,0.7,10.4,2020-2021
Marvin Bagley III,PF,F,37,37,11,25.71,5.6,11.2,0.502,0.9,2.6,0.354,1.6,2.9,0.56,7.4,0.9,0.5,0.5,1.3,13.9,2020-2021
LaMelo Ball,PG,G,41,21,6,28.63,5.8,12.8,0.451,2.0,5.3,0.375,2.4,3.0,0.789,5.9,6.1,1.6,0.3,2.8,15.9,2020-2021
Lonzo Ball,PG,G,38,38,9,31.71,5.2,12.1,0.425,3.0,7.8,0.385,0.9,1.1,0.767,4.2,5.6,1.3,0.6,2.0,14.2,2020-2021
Mo Bamba,C,C,26,0,22,11.48,2.3,4.9,0.469,0.5,1.7,0.289,0.5,0.8,0.591,4.2,0.4,0.2,1.0,0.5,5.6,2020-2021
Desmond Bane,SG,G,41,11,4,22.62,3.5,7.4,0.48,1.7,3.8,0.455,0.6,0.8,0.839,3.0,1.4,0.7,0.1,1.0,9.4,2020-2021
Harrison Barnes,PF,F,45,45,3,35.91,5.2,10.8,0.484,1.5,4.1,0.362,3.5,4.3,0.823,6.7,3.6,0.7,0.2,1.5,15.5,2020-2021
RJ Barrett,SG,G,48,48,0,34.19,6.6,14.9,0.444,1.2,3.5,0.343,3.0,4.1,0.729,6.1,3.1,0.7,0.2,2.0,17.5,2020-2021
Will Barton,SF,F,45,41,3,31.04,4.7,10.9,0.429,1.7,4.6,0.374,1.4,1.8,0.747,4.1,3.1,0.9,0.5,1.6,12.4,2020-2021
Keita Bates-Diop,SF,F,16,0,30,7.38,0.7,2.0,0.344,0.3,0.9,0.333,0.4,0.6,0.7,1.2,0.4,0.4,0.1,0.1,2.1,2020-2021
Nicolas Batum,SF,F,47,38,3,28.81,2.9,6.3,0.458,1.8,4.3,0.423,0.8,1.0,0.848,4.9,2.4,1.1,0.4,0.8,8.4,2020-2021
Aron Baynes,C,C,45,31,3,18.34,2.4,5.7,0.42,0.4,1.9,0.235,0.6,0.8,0.735,5.0,0.9,0.3,0.4,0.8,5.8,2020-2021
Kent Bazemore,SF,F,46,1,2,16.39,2.2,4.8,0.457,0.9,2.3,0.393,0.7,1.0,0.696,2.9,1.5,0.8,0.5,1.1,6.0,2020-2021
Darius Bazley,PF,F,36,36,11,30.68,4.4,11.2,0.392,1.5,5.2,0.29,1.6,2.2,0.704,7.5,1.5,0.5,0.6,1.8,11.9,2020-2021
Bradley Beal,SG,G,41,41,6,35.47,11.0,22.6,0.485,2.2,6.5,0.338,7.2,8.0,0.902,5.0,4.8,1.2,0.4,3.3,31.3,2020-2021
Malik Beasley,SG,G,36,35,12,32.93,7.3,16.3,0.446,3.5,8.8,0.402,1.9,2.2,0.85,4.4,2.4,0.8,0.2,1.7,20.0,2020-2021
Jordan Bell,C,C,3,1,1,16.59,1.7,5.0,0.333,0.0,0.7,0.0,0.0,0.0,0.0,5.3,1.7,0.3,1.0,1.0,3.3,2020-2021
DeAndre' Bembry,SF,F,32,7,16,17.14,2.0,3.7,0.534,0.3,0.9,0.321,0.5,0.8,0.68,2.4,1.9,0.7,0.3,1.0,4.8,2020-2021
Davis Bertans,PF,F,35,3,12,24.68,3.2,8.2,0.389,2.8,7.3,0.382,1.7,1.9,0.853,2.9,0.9,0.6,0.2,0.6,10.8,2020-2021
Patrick Beverley,PG,G,29,29,21,23.76,2.8,6.2,0.442,1.7,4.1,0.42,1.1,1.3,0.795,3.7,2.1,0.9,0.8,0.9,8.3,2020-2021
Saddiq Bey,SF,F,46,29,2,24.96,3.4,8.5,0.402,2.2,5.9,0.38,1.6,1.8,0.88,4.1,1.3,0.6,0.1,0.8,10.7,2020-2021
Tyler Bey,SF,F,9,0,37,3.52,0.3,1.2,0.273,0.0,0.1,0.0,0.2,0.4,0.5,1.3,0.1,0.0,0.1,0.0,0.9,2020-2021
Khem Birch,C,C,47,5,1,19.9,2.0,4.4,0.454,0.1,0.4,0.19,1.3,1.8,0.741,5.1,1.1,0.7,0.6,0.5,5.4,2020-2021
Goga Bitadze,C,C,27,0,19,9.56,1.7,3.4,0.495,0.3,1.1,0.233,0.7,1.0,0.692,2.4,0.3,0.2,1.0,0.4,4.3,2020-2021
Bismack Biyombo,C,C,45,26,2,21.49,2.2,4.0,0.567,0.0,0.0,0.0,0.8,1.7,0.493,5.3,1.3,0.3,1.2,1.1,5.3,2020-2021
Nemanja Bjelica,PF,F,29,1,19,16.09,2.5,5.4,0.462,0.7,2.2,0.302,1.1,1.4,0.762,3.6,1.7,0.3,0.1,1.0,6.7,2020-2021
Eric Bledsoe,SG,G,46,45,1,29.94,4.1,9.9,0.418,1.8,4.9,0.371,1.4,2.2,0.653,3.4,3.9,0.7,0.3,1.6,11.5,2020-2021
Keljin Blevins,SF,F,9,0,38,5.21,0.2,1.2,0.182,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.3,0.4,2020-2021
Bogdan Bogdanovic,SG,G,23,6,25,24.85,4.3,9.8,0.438,2.1,5.8,0.366,0.7,0.7,0.941,3.3,2.6,0.7,0.3,0.9,11.4,2020-2021
Bojan Bogdanovic,SF,F,47,47,0,30.1,4.8,11.6,0.41,2.4,6.3,0.386,2.7,3.1,0.876,3.8,1.9,0.5,0.0,1.4,14.7,2020-2021
Bol Bol,PF,F,20,2,28,5.33,1.0,1.8,0.528,0.4,0.9,0.5,0.2,0.4,0.571,0.8,0.3,0.1,0.3,0.4,2.6,2020-2021
Marques Bolden,C,C,6,0,26,4.77,0.2,0.5,0.333,0.0,0.0,0.0,0.8,1.3,0.625,1.0,0.0,0.3,0.3,0.3,1.2,2020-2021
Jordan Bone,PG,G,14,0,8,13.99,1.6,3.9,0.426,0.7,2.3,0.312,0.0,0.0,0.0,1.7,1.3,0.1,0.0,0.2,4.0,2020-2021
Isaac Bonga,SF,F,30,7,17,11.85,0.8,2.1,0.381,0.4,1.2,0.297,0.1,0.2,0.5,2.0,0.6,0.3,0.2,0.5,2.1,2020-2021
Devin Booker,SG,G,43,43,4,33.95,9.4,19.0,0.495,2.0,5.8,0.351,4.6,5.4,0.85,4.1,4.5,0.9,0.3,3.3,25.5,2020-2021
Chris Boucher,C,C,48,3,0,23.14,4.7,8.9,0.527,1.5,3.7,0.407,2.4,3.1,0.767,6.3,1.0,0.5,1.9,0.7,13.3,2020-2021
Brian Bowen,SF,F,3,0,43,2.74,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.3,0.0,0.0,0.0,0.0,1.0,2020-2021
Avery Bradley,SG,G,12,1,37,20.56,3.0,6.9,0.434,1.4,3.9,0.362,0.6,0.8,0.778,1.8,1.5,0.8,0.1,0.9,8.0,2020-2021
Tony Bradley,C,C,22,8,25,14.52,2.5,3.7,0.671,0.0,0.0,0.0,0.5,0.8,0.706,5.3,0.9,0.3,0.6,0.5,5.5,2020-2021
Jarrell Brantley,PF,F,15,0,32,2.88,0.5,1.2,0.444,0.3,0.7,0.4,0.1,0.1,1.0,0.6,0.2,0.2,0.1,0.1,1.5,2020-2021
Ignas Brazdeikis,SF,F,4,0,45,1.77,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.2,0.0,0.0,0.2,0.5,2020-2021
Mikal Bridges,SF,F,47,47,0,32.57,4.9,9.4,0.525,1.7,4.3,0.405,1.6,2.0,0.826,4.9,2.3,0.9,0.9,0.9,13.2,2020-2021
Miles Bridges,PF,F,47,2,0,26.58,3.7,7.4,0.493,1.2,3.3,0.369,1.1,1.3,0.898,5.7,2.0,0.6,0.7,1.5,9.7,2020-2021
Malcolm Brogdon,PG,G,44,44,2,35.22,8.0,17.5,0.458,2.7,6.7,0.403,2.5,2.8,0.872,4.8,5.9,1.0,0.2,2.1,21.2,2020-2021
Dillon Brooks,SF,F,42,42,3,29.2,6.1,15.2,0.4,1.8,5.7,0.319,2.2,2.6,0.852,2.9,2.4,1.3,0.4,1.9,16.1,2020-2021
Bruce Brown,PG,G,45,29,4,21.57,3.5,6.3,0.547,0.2,0.9,0.25,1.3,1.7,0.756,4.6,1.5,0.8,0.3,0.8,8.5,2020-2021
Jaylen Brown,SG,G,44,44,4,34.06,9.2,19.1,0.485,2.6,6.8,0.391,3.4,4.5,0.756,5.6,3.7,1.2,0.5,2.8,24.5,2020-2021
Moses Brown,C,C,18,7,29,18.89,3.3,5.5,0.596,0.0,0.0,0.0,2.3,3.8,0.603,8.2,0.2,0.6,1.2,0.7,8.8,2020-2021
Sterling Brown,SG,G,45,12,2,24.35,2.8,6.5,0.435,1.7,4.3,0.404,0.5,0.5,0.917,4.6,1.4,0.8,0.3,0.8,7.9,2020-2021
Troy Brown Jr.,SF,F,24,0,22,13.9,1.7,4.2,0.392,0.7,2.1,0.32,0.5,0.8,0.667,2.7,0.9,0.2,0.2,0.7,4.5,2020-2021
Jalen Brunson,PG,G,42,10,4,25.18,4.7,8.8,0.536,1.2,3.0,0.397,2.0,2.5,0.802,3.5,3.3,0.5,0.0,1.4,12.7,2020-2021
Thomas Bryant,C,C,10,10,37,27.08,5.9,9.1,0.648,0.9,2.1,0.429,1.6,2.4,0.667,6.1,1.5,0.4,0.8,1.1,14.3,2020-2021
Reggie Bullock,SF,F,41,40,7,27.9,3.3,7.8,0.419,2.0,5.1,0.389,0.6,0.7,0.862,3.4,1.4,0.8,0.2,0.8,9.1,2020-2021
Trey Burke,PG,G,45,0,1,14.82,2.5,5.6,0.45,1.0,2.8,0.376,0.7,0.8,0.868,0.9,1.4,0.6,0.1,0.5,6.8,2020-2021
Alec Burks,SG,G,36,5,12,26.36,4.4,10.4,0.423,2.0,5.0,0.408,2.2,2.6,0.848,4.5,2.2,0.8,0.3,1.0,13.0,2020-2021
Jimmy Butler,SF,F,34,34,15,33.71,7.1,14.7,0.485,0.4,2.0,0.206,6.7,7.9,0.848,7.6,7.2,2.0,0.4,2.2,21.4,2020-2021
Bruno Caboclo,PF,F,6,0,3,6.07,1.3,2.8,0.471,0.0,0.8,0.0,0.2,0.3,0.5,2.3,0.2,0.0,0.3,0.7,2.8,2020-2021
Devontae Cacok,PF,F,10,1,38,4.77,0.9,1.4,0.643,0.0,0.0,0.0,0.0,0.2,0.0,1.5,0.1,0.4,0.1,0.3,1.8,2020-2021
Kentavious Caldwell-Pope,SG,G,44,44,4,26.17,2.8,6.7,0.415,1.4,3.7,0.391,1.3,1.5,0.851,2.4,1.5,0.8,0.3,1.0,8.3,2020-2021
Facundo Campazzo,PG,G,42,1,6,18.1,1.5,4.0,0.369,1.0,2.8,0.347,0.8,1.0,0.805,1.4,2.8,1.0,0.2,1.0,4.7,2020-2021
Vlatko Cancar,PF,F,25,0,23,5.92,0.6,1.3,0.424,0.2,0.7,0.278,0.2,0.2,0.833,1.2,0.3,0.3,0.1,0.4,1.5,2020-2021
Clint Capela,C,C,42,42,6,29.74,6.5,11.0,0.588,0.0,0.0,0.0,1.9,3.3,0.583,14.2,0.8,0.7,2.2,1.2,14.9,2020-2021
Vernon Carey Jr.,C,C,7,0,40,3.54,0.3,0.6,0.5,0.0,0.1,0.0,0.1,0.3,0.5,1.3,0.1,0.0,0.1,0.1,0.7,2020-2021
Jevon Carter,PG,G,35,0,12,9.57,1.0,2.7,0.375,0.6,1.8,0.328,0.1,0.1,1.0,1.2,1.1,0.4,0.2,0.2,2.7,2020-2021
Wendell Carter Jr.,C,C,35,25,12,24.6,4.1,7.8,0.526,0.3,0.7,0.36,2.7,3.6,0.744,7.9,2.1,0.5,0.8,1.5,11.1,2020-2021
Michael Carter-Williams,SG,G,26,20,22,26.32,3.3,8.8,0.38,0.4,1.8,0.234,1.5,2.3,0.667,4.6,4.4,0.7,0.5,2.3,8.7,2020-2021
Alex Caruso,PG,G,38,0,10,20.13,2.0,4.9,0.403,0.8,2.2,0.376,0.8,1.2,0.638,3.1,2.4,1.2,0.2,1.1,5.6,2020-2021
Willie Cauley-Stein,C,C,35,11,11,17.11,2.3,3.6,0.622,0.0,0.2,0.125,0.9,1.4,0.66,4.3,0.7,0.3,0.8,0.5,5.5,2020-2021
Chris Chiozza,PG,G,17,0,32,9.94,1.2,3.8,0.328,0.6,1.9,0.333,0.6,0.8,0.769,0.9,2.9,0.4,0.2,0.7,3.7,2020-2021
Marquese Chriss,PF,F,2,0,44,13.36,2.5,7.0,0.357,0.5,2.5,0.2,1.0,2.0,0.5,6.5,1.0,0.0,1.0,1.0,6.5,2020-2021
Gary Clark,SF,F,35,11,13,18.2,1.1,3.7,0.305,0.9,3.1,0.287,0.2,0.3,0.8,3.2,0.9,0.3,0.2,0.5,3.4,2020-2021
Brandon Clarke,PF,F,39,16,6,25.91,4.9,9.3,0.525,0.5,1.5,0.328,1.4,2.1,0.675,5.6,1.7,1.1,0.8,0.6,11.6,2020-2021
Jordan Clarkson,SG,G,47,0,0,25.61,6.3,15.0,0.419,3.0,8.7,0.349,1.7,1.8,0.952,4.1,2.1,0.9,0.1,1.7,17.3,2020-2021
Nicolas Claxton,C,C,17,0,32,18.74,3.6,5.9,0.61,0.1,0.2,0.25,1.1,2.1,0.543,4.8,0.9,0.6,1.4,0.6,8.4,2020-2021
Amir Coffey,SG,G,32,0,18,8.14,1.1,2.2,0.486,0.6,1.3,0.442,0.3,0.5,0.529,0.8,0.5,0.2,0.0,0.3,3.0,2020-2021
John Collins,PF,F,47,47,1,30.26,7.1,13.0,0.545,1.3,3.4,0.38,2.7,3.3,0.838,7.8,1.4,0.5,1.0,1.2,18.2,2020-2021
Mike Conley,PG,G,38,38,9,29.6,5.7,12.5,0.456,2.7,6.5,0.415,2.3,2.7,0.843,3.5,5.5,1.4,0.1,2.0,16.4,2020-2021
Pat Connaughton,SG,G,44,1,3,22.96,2.5,5.4,0.454,1.5,3.7,0.41,0.5,0.6,0.769,4.7,1.4,0.7,0.4,0.5,6.9,2020-2021
Quinn Cook,PG,G,23,0,20,6.84,1.3,3.0,0.426,0.5,1.1,0.423,0.3,0.3,0.875,0.7,0.8,0.2,0.0,0.3,3.3,2020-2021
Tyler Cook,SF,F,12,0,0,10.22,1.1,2.0,0.542,0.0,0.0,0.0,0.2,0.6,0.429,2.4,0.4,0.2,0.0,0.8,2.4,2020-2021
DeMarcus Cousins,C,C,25,11,4,20.25,3.2,8.4,0.376,1.6,4.6,0.336,1.8,2.4,0.746,7.6,2.4,0.8,0.7,1.6,9.6,2020-2021
Robert Covington,PF,F,45,45,2,32.33,3.1,7.5,0.413,2.1,5.4,0.39,0.7,0.9,0.821,6.8,1.7,1.7,1.3,1.1,9.0,2020-2021
Torrey Craig,SF,F,25,0,24,12.61,1.5,3.4,0.442,0.5,1.4,0.361,0.1,0.2,0.5,2.9,1.0,0.5,0.4,0.3,3.7,2020-2021
Jae Crowder,PF,F,44,29,3,27.9,3.4,8.4,0.404,2.5,6.4,0.384,1.0,1.2,0.808,4.9,2.1,0.8,0.4,0.9,10.2,2020-2021
Jarrett Culver,SG,G,25,7,23,17.05,2.4,6.0,0.403,0.4,1.7,0.209,1.0,1.7,0.595,3.8,0.7,0.6,0.3,1.0,6.2,2020-2021
Seth Curry,SG,G,37,37,11,29.14,4.6,10.1,0.46,2.1,4.9,0.429,1.6,1.7,0.921,2.2,2.8,0.9,0.2,1.4,13.0,2020-2021
Stephen Curry,PG,G,41,41,7,33.72,9.6,20.3,0.475,4.7,11.5,0.41,5.2,5.6,0.931,5.5,6.1,1.3,0.1,3.0,29.2,2020-2021
Nate Darling,SG,G,3,0,44,3.07,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,2020-2021
Anthony Davis,PF,F,23,23,25,32.83,8.9,16.7,0.533,0.7,2.5,0.293,4.0,5.7,0.715,8.4,3.0,1.3,1.8,2.0,22.5,2020-2021
Ed Davis,C,C,19,7,29,13.91,0.9,2.3,0.419,0.0,0.0,0.0,0.4,0.4,0.875,5.1,1.0,0.5,0.5,0.3,2.3,2020-2021
Terence Davis,SG,G,37,4,10,14.87,2.6,6.2,0.416,1.3,3.7,0.353,0.5,0.6,0.87,2.0,1.1,0.6,0.2,0.9,7.0,2020-2021
Matthew Dellavedova,PG,G,1,0,0,16.17,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2020-2021
DeMar DeRozan,PF,F,39,39,7,34.13,7.3,14.8,0.494,0.5,1.6,0.295,5.8,6.6,0.88,4.4,7.2,1.0,0.3,1.8,20.9,2020-2021
Mamadi Diakite,PF,F,6,0,41,9.29,1.3,3.0,0.444,0.2,0.7,0.25,0.0,0.0,0.0,2.5,0.7,0.0,0.7,0.2,2.8,2020-2021
Hamidou Diallo,SG,G,35,5,14,23.8,4.5,9.1,0.495,0.4,1.3,0.326,2.7,4.1,0.653,5.3,2.4,0.9,0.4,1.5,12.1,2020-2021
Gorgui Dieng,C,C,23,1,21,16.39,2.4,4.7,0.519,1.0,2.1,0.479,1.7,2.0,0.867,4.3,1.3,0.7,0.6,1.0,7.6,2020-2021
Spencer Dinwiddie,SG,G,3,3,46,21.44,2.0,5.3,0.375,0.7,2.3,0.286,2.0,2.0,1.0,4.3,3.0,0.7,0.3,1.7,6.7,2020-2021
Donte DiVincenzo,SG,G,46,46,1,27.36,4.0,9.4,0.423,2.0,5.1,0.386,0.7,1.0,0.688,5.4,3.0,1.2,0.2,1.4,10.7,2020-2021
Luka Doncic,PG,G,41,41,5,35.02,10.1,20.7,0.488,3.0,8.1,0.377,5.5,7.3,0.744,8.1,8.9,1.0,0.6,4.3,28.7,2020-2021
Luguentz Dort,SG,G,41,41,6,29.34,4.3,11.2,0.386,2.0,6.0,0.327,2.0,2.6,0.764,3.4,1.6,0.9,0.4,1.4,12.6,2020-2021
Damyean Dotson,SG,G,35,6,13,18.8,2.5,6.3,0.394,0.9,3.3,0.278,0.6,0.9,0.688,2.0,2.1,0.4,0.1,0.8,6.5,2020-2021
Devon Dotson,PG,G,3,0,43,4.87,0.7,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,1.3,2020-2021
