Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Jordan Poole,SG,G,27,5,21,17.03,3.7,8.0,0.465,1.7,4.6,0.379,1.7,1.9,0.922,1.6,1.6,0.4,0.1,0.8,11.0,2020-2021
Jontay Porter,PF,F,2,0,43,4.89,1.0,2.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,3.5,0.5,1.0,0.0,1.0,2.5,2020-2021
Kevin Porter Jr.,SG,G,10,7,38,30.22,6.5,14.6,0.445,1.4,6.1,0.23,1.5,2.6,0.577,2.8,5.8,0.9,0.5,2.8,15.9,2020-2021
Michael Porter Jr.,SF,F,38,31,10,29.87,6.3,11.8,0.536,2.5,5.5,0.45,1.5,2.1,0.744,7.4,1.0,0.7,0.9,1.1,16.6,2020-2021
Otto Porter,SF,F,28,6,19,21.67,3.5,8.1,0.432,1.4,3.7,0.375,1.3,1.5,0.857,5.4,2.0,0.6,0.1,0.9,9.7,2020-2021
Bobby Portis,C,C,43,2,4,20.99,4.6,8.6,0.538,1.1,2.4,0.48,0.7,0.9,0.737,6.8,1.1,0.8,0.4,0.8,11.0,2020-2021
Kristaps Porzingis,C,C,30,30,16,30.5,7.7,16.0,0.478,2.3,6.3,0.367,2.7,3.3,0.828,8.9,1.6,0.5,1.6,1.3,20.4,2020-2021
Dwight Powell,C,C,32,8,14,14.62,1.4,2.9,0.489,0.1,0.5,0.235,1.6,2.1,0.773,3.4,0.8,0.5,0.3,0.6,4.6,2020-2021
Norman Powell,SG,G,45,34,3,30.53,6.6,13.2,0.499,2.8,6.2,0.445,3.4,4.0,0.85,3.0,1.8,1.2,0.2,1.8,19.4,2020-2021
Taurean Prince,PF,F,31,10,18,21.26,2.7,7.3,0.367,1.3,3.5,0.376,1.5,1.7,0.852,3.5,1.7,0.6,0.6,1.1,8.2,2020-2021
Payton Pritchard,SG,G,42,1,6,19.62,2.7,5.9,0.46,1.4,3.3,0.42,0.5,0.6,0.875,2.2,2.0,0.5,0.2,0.9,7.3,2020-2021
Immanuel Quickley,PG,G,43,3,5,19.88,3.9,10.1,0.387,1.9,5.2,0.372,2.8,3.1,0.888,2.3,2.3,0.5,0.2,1.0,12.5,2020-2021
Jahmi'us Ramsey,SG,G,5,0,43,3.36,0.6,1.0,0.6,0.2,0.6,0.333,0.0,0.0,0.0,0.8,0.2,0.0,0.2,0.2,1.4,2020-2021
Chasson Randle,PG,G,19,4,1,21.65,2.1,5.3,0.39,1.2,3.1,0.379,0.8,0.9,0.833,2.2,2.4,0.5,0.1,1.1,6.1,2020-2021
Julius Randle,PF,F,47,47,1,37.08,8.3,17.6,0.47,2.0,4.8,0.419,4.5,5.7,0.788,10.8,5.8,0.9,0.2,3.3,23.1,2020-2021
Cam Reddish,SF,F,26,21,22,28.86,3.7,10.1,0.365,1.3,4.8,0.262,2.6,3.2,0.817,4.0,1.3,1.3,0.3,1.3,11.2,2020-2021
J.J. Redick,SG,G,31,0,16,18.6,2.8,6.9,0.407,1.6,4.5,0.364,1.5,1.5,0.957,1.7,1.3,0.3,0.1,0.8,8.7,2020-2021
Paul Reed,PF,F,11,0,37,7.9,1.4,3.2,0.429,0.0,0.5,0.0,0.0,0.1,0.0,1.9,0.3,0.4,0.5,0.5,2.7,2020-2021
Naz Reid,C,C,46,13,2,19.09,4.2,8.2,0.517,0.8,2.3,0.336,1.7,2.3,0.704,4.5,1.2,0.6,1.1,1.1,10.9,2020-2021
Cameron Reynolds,SF,F,3,0,1,2.06,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2020-2021
Nick Richards,PF,F,12,0,35,3.48,0.2,0.5,0.5,0.0,0.0,0.0,0.6,0.9,0.636,0.7,0.0,0.0,0.0,0.1,1.1,2020-2021
Josh Richardson,SG,G,37,37,9,32.17,4.5,10.4,0.433,1.6,4.9,0.322,2.0,2.2,0.926,3.5,2.8,0.9,0.4,1.6,12.6,2020-2021
Austin Rivers,SG,G,21,2,25,21.05,2.8,6.4,0.43,1.3,3.7,0.364,0.5,0.7,0.714,2.2,2.0,0.6,0.0,1.0,7.3,2020-2021
Andre Roberson,SG,G,5,0,2,12.59,0.4,2.8,0.143,0.2,1.6,0.125,0.2,0.4,0.5,3.0,0.8,0.6,0.2,0.4,1.2,2020-2021
Duncan Robinson,SF,F,49,49,0,32.82,4.3,10.0,0.432,3.4,8.6,0.398,1.0,1.1,0.839,3.8,1.8,0.5,0.2,1.2,13.0,2020-2021
Glenn Robinson III,SF,F,23,2,8,16.06,1.8,4.3,0.424,0.7,1.9,0.364,0.9,1.0,0.913,2.0,0.9,0.2,0.1,0.5,5.3,2020-2021
Jerome Robinson,SG,G,17,6,30,17.94,1.6,5.6,0.295,0.6,2.5,0.262,0.9,1.2,0.8,2.2,1.5,0.7,0.4,1.1,4.9,2020-2021
Mitchell Robinson,C,C,31,29,17,27.5,3.7,5.7,0.653,0.0,0.0,0.0,0.8,1.7,0.491,8.1,0.5,1.1,1.5,0.8,8.3,2020-2021
Isaiah Roby,PF,F,41,21,6,23.46,3.5,6.9,0.509,0.5,1.7,0.324,1.6,2.2,0.73,5.7,1.8,0.9,0.7,1.7,9.1,2020-2021
Rajon Rondo,PG,G,27,2,21,14.87,1.6,4.1,0.4,0.6,1.7,0.378,0.0,0.1,0.5,2.0,3.5,0.7,0.1,1.4,3.9,2020-2021
Derrick Rose,PG,G,27,3,19,23.83,5.1,11.9,0.43,1.0,2.6,0.38,2.4,2.8,0.842,2.1,4.3,1.1,0.4,1.9,13.6,2020-2021
Terrence Ross,SG,G,38,2,10,29.62,5.7,13.9,0.409,2.2,6.2,0.355,2.5,2.8,0.895,3.4,2.3,1.1,0.5,1.7,16.0,2020-2021
Terry Rozier,SG,G,45,45,2,33.3,7.2,15.3,0.475,3.4,8.0,0.417,2.6,3.1,0.837,4.0,3.4,1.2,0.3,1.9,20.5,2020-2021
Ricky Rubio,PG,G,46,31,2,26.41,2.7,7.1,0.385,0.8,2.8,0.291,2.1,2.4,0.848,3.2,6.9,1.4,0.0,1.9,8.3,2020-2021
D'Angelo Russell,PG,G,20,19,28,29.16,7.0,16.3,0.426,3.0,7.4,0.399,2.4,3.2,0.75,2.6,5.0,1.1,0.5,2.7,19.2,2020-2021
Domantas Sabonis,PF,F,46,46,0,36.11,7.6,14.4,0.526,0.8,2.6,0.305,4.2,5.9,0.72,11.3,6.1,1.2,0.6,3.4,20.2,2020-2021
Luka Samanic,PF,F,18,1,28,8.87,1.3,2.7,0.49,0.4,1.4,0.32,0.5,0.9,0.529,2.1,0.3,0.2,0.2,0.6,3.6,2020-2021
JaKarr Sampson,PF,F,16,0,30,6.16,0.9,2.1,0.455,0.1,0.3,0.2,0.5,0.6,0.8,1.9,0.1,0.1,0.2,0.4,2.4,2020-2021
Dario Saric,C,C,29,0,18,18.6,3.7,7.8,0.476,1.2,3.1,0.374,1.7,1.9,0.893,4.2,1.3,0.6,0.1,1.3,10.3,2020-2021
Tomas Satoransky,SG,G,35,10,11,22.83,2.9,5.7,0.502,0.8,2.0,0.394,1.3,1.4,0.92,2.5,4.9,0.7,0.3,1.7,7.9,2020-2021
Dennis Schroder,SG,G,44,44,4,31.74,5.3,12.2,0.433,1.0,3.2,0.321,3.8,4.6,0.841,3.5,5.0,1.2,0.2,2.7,15.4,2020-2021
Mike Scott,PF,F,29,7,19,17.81,1.4,3.9,0.354,1.0,3.1,0.322,0.2,0.3,0.6,2.8,0.7,0.6,0.2,0.5,4.0,2020-2021
Collin Sexton,SG,G,41,41,7,35.91,8.8,18.4,0.476,1.7,4.5,0.372,4.7,5.8,0.811,2.9,4.2,1.2,0.1,2.7,23.9,2020-2021
Landry Shamet,SG,G,40,1,9,20.15,2.6,6.6,0.399,1.9,4.9,0.386,0.9,1.1,0.837,1.8,1.1,0.5,0.1,0.8,8.0,2020-2021
Iman Shumpert,SG,G,2,0,13,5.49,0.5,2.0,0.25,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,2020-2021
Pascal Siakam,PF,F,39,39,9,35.31,7.1,16.0,0.445,1.2,4.2,0.294,4.5,5.4,0.829,7.4,4.7,1.1,0.6,2.1,20.0,2020-2021
Chris Silva,PF,F,13,0,36,6.68,0.8,1.2,0.667,0.1,0.1,1.0,0.8,1.2,0.733,2.0,0.5,0.1,0.4,0.8,2.5,2020-2021
Ben Simmons,PG,G,40,40,8,33.6,6.0,11.0,0.548,0.1,0.2,0.333,3.4,5.3,0.642,7.9,7.4,1.5,0.6,3.6,15.5,2020-2021
Anfernee Simons,SG,G,40,0,7,16.73,2.7,6.6,0.406,2.0,4.7,0.42,0.6,0.8,0.774,2.4,1.5,0.2,0.1,0.8,8.0,2020-2021
Deividas Sirvydis,SG,G,10,0,38,1.89,0.2,0.7,0.286,0.2,0.6,0.333,0.1,0.2,0.5,0.3,0.1,0.1,0.0,0.1,0.7,2020-2021
Alen Smailagic,PF,F,4,1,44,3.85,0.5,1.8,0.286,0.2,1.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2020-2021
Marcus Smart,PG,G,29,26,19,32.14,4.2,10.6,0.399,1.9,5.7,0.331,2.8,3.5,0.784,3.0,5.4,1.5,0.6,1.6,13.1,2020-2021
Dennis Smith Jr.,PG,G,19,7,31,18.37,2.7,6.7,0.398,0.9,2.7,0.333,0.6,0.8,0.75,2.6,3.5,1.1,0.7,1.2,6.9,2020-2021
Ish Smith,PG,G,19,1,28,20.57,2.3,6.1,0.379,0.3,1.1,0.25,0.3,0.8,0.4,3.5,4.7,0.8,0.2,1.0,5.2,2020-2021
Jalen Smith,PF,F,15,0,32,4.4,0.5,1.4,0.381,0.1,0.6,0.222,0.1,0.2,0.333,1.0,0.1,0.0,0.1,0.2,1.3,2020-2021
Tony Snell,SG,G,35,18,13,20.9,1.9,3.7,0.511,1.5,2.6,0.567,0.1,0.1,1.0,2.3,1.4,0.1,0.2,0.5,5.4,2020-2021
Ray Spalding,C,C,2,0,0,9.37,1.0,2.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.5,2.0,2020-2021
Cassius Stanley,SG,G,12,0,34,2.76,0.3,1.2,0.267,0.1,0.4,0.2,0.3,0.4,0.8,0.7,0.0,0.0,0.2,0.1,1.1,2020-2021
Lamar Stevens,PF,F,33,0,15,13.37,1.7,3.8,0.444,0.1,0.7,0.167,0.9,1.3,0.705,2.7,0.7,0.5,0.4,0.6,4.5,2020-2021
Isaiah Stewart,C,C,46,2,2,19.02,2.7,4.9,0.562,0.2,0.5,0.417,0.7,1.0,0.674,5.7,0.8,0.5,1.0,0.9,6.4,2020-2021
Max Strus,SF,F,24,0,25,13.78,2.4,5.1,0.467,1.5,4.1,0.357,0.5,0.7,0.688,1.0,0.5,0.2,0.0,0.2,6.7,2020-2021
Edmond Sumner,SG,G,33,5,13,12.41,2.0,4.1,0.493,0.6,1.5,0.392,0.9,1.1,0.811,1.5,0.5,0.5,0.1,0.8,5.5,2020-2021
Jae'Sean Tate,SF,F,47,35,0,28.72,4.2,8.1,0.517,0.8,2.5,0.31,1.4,1.9,0.722,5.4,1.9,1.1,0.6,1.1,10.6,2020-2021
Jayson Tatum,SF,F,42,42,6,35.7,9.3,20.6,0.45,2.8,7.3,0.378,3.9,4.5,0.864,6.9,4.4,1.4,0.5,2.4,25.3,2020-2021
Jeff Teague,PG,G,34,5,11,18.12,2.3,5.5,0.415,0.8,1.6,0.464,1.5,1.8,0.836,1.7,2.1,0.8,0.2,1.1,6.9,2020-2021
Garrett Temple,SG,G,37,12,9,27.08,3.0,7.1,0.424,1.2,3.7,0.336,0.8,1.0,0.816,3.1,2.0,0.9,0.5,1.0,8.1,2020-2021
Tyrell Terry,PG,G,11,0,35,5.12,0.5,1.5,0.312,0.0,0.6,0.0,0.1,0.3,0.333,0.5,0.5,0.5,0.0,0.2,1.0,2020-2021
Daniel Theis,C,C,44,37,3,24.29,3.7,6.8,0.55,0.8,2.2,0.337,1.1,1.6,0.686,5.2,1.6,0.6,1.1,1.0,9.3,2020-2021
Brodric Thomas,SG,G,13,1,27,11.16,1.0,3.4,0.295,0.4,1.8,0.208,1.3,1.6,0.81,1.2,0.9,0.5,0.4,0.6,3.7,2020-2021
Matt Thomas,SG,G,28,0,20,7.43,0.9,2.5,0.377,0.6,1.6,0.391,0.2,0.2,0.857,0.9,0.4,0.1,0.0,0.3,2.7,2020-2021
Tristan Thompson,PF,F,36,31,12,22.52,3.3,6.2,0.534,0.0,0.1,0.0,1.3,2.2,0.6,8.4,1.0,0.4,0.4,1.0,7.9,2020-2021
Sindarius Thornwell,SG,G,14,1,27,5.24,0.5,1.5,0.333,0.2,0.6,0.333,0.0,0.1,0.0,0.4,0.3,0.4,0.1,0.3,1.2,2020-2021
Matisse Thybulle,SG,G,45,5,3,19.33,1.5,3.6,0.407,0.7,2.2,0.31,0.2,0.3,0.571,1.9,1.0,1.5,1.0,0.4,3.8,2020-2021
Killian Tillie,C,C,6,0,39,8.88,0.8,3.2,0.263,0.3,1.7,0.2,0.3,0.5,0.667,1.0,0.2,0.3,0.7,0.2,2.3,2020-2021
Xavier Tillman Sr.,PF,F,35,7,10,18.49,2.6,5.1,0.517,0.3,1.1,0.263,0.6,0.9,0.733,4.1,1.4,0.8,0.5,0.8,6.2,2020-2021
Obi Toppin,PF,F,38,0,10,11.68,1.7,3.5,0.474,0.4,1.4,0.288,0.3,0.4,0.706,2.2,0.5,0.3,0.3,0.5,4.0,2020-2021
Juan Toscano-Anderson,SG,G,33,14,15,17.95,1.9,3.5,0.557,0.6,1.5,0.438,0.4,0.5,0.722,3.8,2.2,0.6,0.5,1.0,4.9,2020-2021
Axel Toupane,SF,F,5,1,1,8.15,0.4,1.4,0.286,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.6,0.0,0.8,2020-2021
Karl-Anthony Towns,C,C,28,28,20,34.01,8.5,17.3,0.492,2.4,5.9,0.4,4.5,5.2,0.864,10.7,4.4,0.7,1.6,3.3,23.9,2020-2021
Gary Trent Jr.,SG,G,45,27,3,31.01,5.4,12.9,0.414,2.9,7.4,0.393,1.3,1.8,0.759,2.3,1.4,0.9,0.1,0.7,15.0,2020-2021
P.J. Tucker,PF,F,35,32,11,28.64,1.4,3.9,0.363,0.8,2.6,0.311,0.5,0.7,0.783,4.4,1.3,0.8,0.6,0.9,4.1,2020-2021
Rayjon Tucker,PG,G,4,0,28,3.21,0.2,0.2,1.0,0.2,0.2,1.0,1.5,1.5,1.0,0.5,0.2,0.0,0.0,0.0,2.2,2020-2021
Myles Turner,C,C,43,43,3,30.97,4.5,9.3,0.481,1.5,4.5,0.339,2.3,2.9,0.786,6.4,1.0,0.9,3.5,1.4,12.7,2020-2021
Jonas Valanciunas,C,C,40,39,5,27.7,6.6,11.9,0.553,0.3,0.9,0.297,2.6,3.5,0.755,12.6,1.8,0.6,0.7,1.8,16.1,2020-2021
Denzel Valentine,SG,G,41,3,5,18.4,2.9,7.6,0.377,1.5,4.4,0.333,0.2,0.2,1.0,3.9,1.7,0.6,0.0,0.6,7.4,2020-2021
Jarred Vanderbilt,PF,F,44,25,4,17.84,2.2,3.7,0.601,0.0,0.1,0.25,1.0,1.7,0.581,5.4,1.3,1.0,0.7,1.0,5.5,2020-2021
Fred VanVleet,SG,G,43,43,5,36.81,6.6,16.7,0.393,3.4,9.1,0.372,3.5,4.0,0.884,4.3,6.2,1.8,0.8,2.0,20.1,2020-2021
Devin Vassell,SF,F,39,1,7,16.93,1.8,4.4,0.41,0.9,2.3,0.404,0.7,0.8,0.871,3.0,0.9,0.9,0.3,0.4,5.3,2020-2021
Gabe Vincent,PG,G,34,6,15,14.88,2.0,5.4,0.368,1.0,3.5,0.28,0.6,0.7,0.87,1.1,1.5,0.5,0.1,0.8,5.6,2020-2021
Noah Vonleh,PF,F,4,0,4,2.69,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5,0.0,2020-2021
Nikola Vucevic,C,C,47,47,0,33.9,9.8,20.3,0.484,2.6,6.4,0.403,2.1,2.6,0.842,11.6,3.8,0.9,0.6,1.8,24.4,2020-2021
Dean Wade,PF,F,40,7,8,14.88,1.7,4.0,0.434,1.0,2.6,0.368,0.4,0.5,0.762,2.7,1.0,0.3,0.3,0.4,4.8,2020-2021
Moritz Wagner,C,C,29,14,18,14.21,2.2,4.6,0.489,0.5,1.6,0.304,1.4,1.9,0.778,2.9,1.2,0.8,0.3,0.9,6.4,2020-2021
Kemba Walker,PG,G,29,29,19,31.02,6.2,15.7,0.395,2.8,8.1,0.35,3.1,3.3,0.937,3.6,4.7,1.2,0.3,2.2,18.3,2020-2021
Lonnie Walker,SG,G,37,30,9,26.15,4.4,10.4,0.425,1.7,4.8,0.356,1.0,1.2,0.783,2.8,1.6,0.5,0.4,1.0,11.5,2020-2021
John Wall,PG,G,32,32,15,31.81,7.2,17.9,0.4,1.9,6.1,0.318,3.9,5.3,0.746,3.4,6.8,1.0,0.8,3.4,20.2,2020-2021
Brad Wanamaker,PG,G,41,0,8,15.69,1.6,4.3,0.36,0.3,1.5,0.222,1.3,1.4,0.897,1.6,2.5,0.6,0.1,1.0,4.7,2020-2021
T.J. Warren,SF,F,4,4,42,29.35,6.8,12.8,0.529,0.0,1.8,0.0,2.0,2.5,0.8,3.5,1.2,0.5,0.0,1.0,15.5,2020-2021
P.J. Washington,PF,F,43,43,4,29.67,4.2,9.6,0.436,1.3,3.6,0.379,2.0,2.5,0.778,6.7,2.7,1.0,1.3,2.2,11.7,2020-2021
Yuta Watanabe,SF,F,29,1,19,11.15,0.8,2.4,0.329,0.4,1.2,0.361,0.3,0.3,0.9,2.9,0.4,0.4,0.5,0.3,2.3,2020-2021
Tremont Waters,PG,G,12,1,36,8.3,0.8,2.6,0.323,0.5,1.2,0.4,0.6,0.7,0.875,0.7,2.6,0.5,0.0,1.1,2.8,2020-2021
Paul Watson,SF,F,24,0,24,9.75,1.0,2.3,0.455,0.8,1.8,0.455,0.1,0.2,0.5,1.5,0.5,0.2,0.1,0.2,3.0,2020-2021
Quinndary Weatherspoon,SG,G,12,0,34,4.15,0.2,0.8,0.2,0.0,0.2,0.0,0.2,0.2,1.0,0.2,0.3,0.3,0.1,0.7,0.5,2020-2021
Russell Westbrook,PG,G,40,40,7,35.04,8.2,18.9,0.433,1.4,4.3,0.32,3.9,6.5,0.606,10.3,10.6,1.3,0.4,5.0,21.6,2020-2021
Coby White,PG,G,44,36,2,31.54,5.5,13.5,0.409,2.2,6.4,0.351,1.8,2.0,0.895,4.6,4.6,0.5,0.2,2.2,15.0,2020-2021
Derrick White,SG,G,22,18,24,28.69,4.7,11.8,0.396,2.3,6.5,0.352,2.5,3.0,0.831,2.7,3.3,0.7,1.0,1.4,14.1,2020-2021
Hassan Whiteside,C,C,28,1,20,14.86,3.4,6.2,0.555,0.0,0.0,0.0,1.2,2.2,0.524,6.0,0.6,0.2,1.4,1.1,8.0,2020-2021
Greg Whittington,PF,F,4,0,44,3.0,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021
Andrew Wiggins,PF,F,48,48,0,32.38,6.8,14.4,0.473,2.1,5.2,0.4,2.5,3.6,0.703,4.8,2.3,0.9,1.0,2.0,18.3,2020-2021
Grant Williams,PF,F,40,8,8,18.65,1.8,3.9,0.449,0.8,2.1,0.398,0.5,0.9,0.528,3.1,1.0,0.6,0.4,0.8,4.8,2020-2021
Kenrich Williams,PF,F,47,7,0,20.0,3.1,5.3,0.578,0.7,1.5,0.451,0.4,0.8,0.541,4.1,1.9,0.7,0.2,1.0,7.2,2020-2021
Lou Williams,PG,G,43,3,7,21.86,4.3,10.2,0.418,1.0,2.8,0.375,2.4,2.8,0.86,2.1,3.5,0.9,0.1,1.6,12.0,2020-2021
Patrick Williams,PF,F,45,45,1,28.36,3.8,8.1,0.474,0.8,2.2,0.38,1.3,1.7,0.766,4.9,1.3,0.7,0.7,1.4,9.8,2020-2021
Robert Williams,C,C,40,3,8,18.04,3.4,4.7,0.714,0.0,0.0,0.0,1.0,1.5,0.644,6.7,1.6,0.9,1.8,1.0,7.7,2020-2021
Zion Williamson,PF,F,44,44,3,32.81,10.1,16.2,0.624,0.2,0.5,0.348,6.0,8.5,0.708,7.1,3.5,0.9,0.7,2.6,26.4,2020-2021
D.J. Wilson,PF,F,19,0,29,10.32,1.6,3.9,0.413,0.9,2.3,0.395,0.3,0.4,0.75,2.6,0.4,0.1,0.5,0.6,4.5,2020-2021
Dylan Windler,SF,F,31,0,17,16.54,1.8,4.2,0.438,0.8,2.5,0.338,0.7,0.9,0.778,3.5,1.1,0.6,0.4,1.0,5.2,2020-2021
Justise Winslow,SF,F,16,0,29,21.04,3.1,9.1,0.342,0.3,2.6,0.122,0.6,1.0,0.562,4.8,1.8,0.8,0.4,1.6,7.1,2020-2021
Cassius Winston,PG,G,12,0,35,6.17,0.8,1.8,0.409,0.6,1.1,0.538,0.2,0.2,1.0,0.6,0.8,0.2,0.1,0.1,2.2,2020-2021
James Wiseman,C,C,34,22,14,21.56,4.9,9.4,0.517,0.3,1.0,0.333,1.6,2.4,0.639,5.9,0.6,0.3,1.0,1.6,11.6,2020-2021
Christian Wood,C,C,24,24,23,31.21,8.3,15.2,0.544,1.7,4.5,0.37,2.9,4.3,0.68,9.7,1.4,0.9,1.5,1.8,21.2,2020-2021
Robert Woodard,SF,F,10,0,38,2.55,0.6,1.3,0.462,0.1,0.4,0.25,0.3,0.8,0.375,1.1,0.0,0.0,0.1,0.1,1.6,2020-2021
Delon Wright,SG,G,39,31,7,28.72,3.6,7.9,0.46,0.8,2.4,0.351,2.0,2.5,0.798,4.5,4.9,1.6,0.5,1.3,10.2,2020-2021
Thaddeus Young,PF,F,42,9,4,24.96,5.6,9.5,0.59,0.1,0.6,0.24,0.8,1.4,0.567,6.5,4.4,1.3,0.6,2.0,12.2,2020-2021
Trae Young,PG,G,46,46,2,34.42,7.7,17.8,0.433,2.4,6.6,0.363,7.7,8.8,0.872,4.0,9.6,0.9,0.2,4.3,25.5,2020-2021
Cody Zeller,C,C,28,20,19,21.51,3.6,7.0,0.513,0.1,0.8,0.136,1.6,2.2,0.698,7.0,2.1,0.7,0.4,0.9,8.9,2020-2021
Ivica Zubac,C,C,50,11,0,21.48,3.4,5.3,0.639,0.0,0.1,0.0,1.9,2.3,0.829,7.3,1.1,0.4,0.9,1.1,8.7,2020-2021
